state,x,y
Himachal Pradesh,-91.0,195.0
Punjab,-125.0,175.0
Uttarakhand,-65.0,163.0
Haryana,-113.0,140.0
Rajasthan,-169.0,97.0
Uttar Pradesh,-59.0,112.0
Gujarat,-201.0,28.0
Madhya Pradesh,-100.0,23.0
Bihar,39.0,81.0
Jharkhand,31.0,36.0
West Bengal,75.0,34.0
Sikkim,97.0,113.0
Arunachal Pradesh,191.0,131.0
Assam,163.0,95.0
Meghalaya,132.0,78.0
Nagaland,200.0,90.0
Manipur,184.0,64.0
Mizoram,173.0,39.0
Tripura,151.0,43.0
Odisha,10.0,-26.0
Maharashtra,-160.0,-51.0
Telangana,-81.0,-68.0
Goa,-155.0,-115.0
Karnataka,-139.0,-127.0
Andhra Pradesh,-83.0,-127.0
Kerela,-114.0,-202.0
Tamil Nadu,-90.0,-196.0
Chhattisgarh,-23.0,-7.0


















